中日友好医院授权返回

主服务器授权申请号:  2250-29077
备份服务器授权申请号:1764-02415
客户服务编号:        3234
客户显示名称:        中日友好医院
PTechSQH:            2000

****主程序授权****

---------------------------------------------------------------------------------
序号  授权类型 截止日期    主服务器授权号             备份服务器授权号           
---------------------------------------------------------------------------------
1     商业                 1516-9149-9411-1829-2053   2021-9180-1911-2914-1998   
2     商业                 6566-3154-5712-1222-1119   3301-2115-7310-5847-1352   
3     商业                 9470-8162-0116-8213-5619   4130-0117-4213-3175-0302   
4     商业                 1111-3117-2458-2249-9211   7217-0132-6114-1947-6110   
5     商业                 1902-1117-1171-1389-6611   7487-1111-0620-1489-6228   
6     商业                 3277-9120-2510-6238-5102   3332-3135-6121-1029-1333   
7     商业                 7981-1125-7812-1363-6611   2921-5148-9815-8153-2477   
8     商业                 0222-4138-5521-1892-3325   6277-4177-5621-1891-4111   
9     商业                 3592-1111-3221-0582-3615   2667-7122-3421-1920-2853   
10    商业                 7410-0157-1276-7642-2516   6449-1121-2795-3961-6117   
11    商业                 5125-7113-7828-3121-3217   8473-1185-1631-7201-8719   
12    商业                 0122-8133-3822-2529-9411   4315-1177-5313-1111-2574   
13    商业                 2251-4132-0920-8219-8468   4327-9107-1324-1511-8619   
14    商业                 3466-1104-2215-2113-6152   1091-2173-1722-1919-1132   
15    商业                 0113-1104-0411-4258-2401   1402-8181-6861-1583-2635   
16    商业                 8713-4150-4223-2613-1761   6110-7158-1771-6591-1119   
17    商业                 5091-1112-5329-1253-0421   7015-3193-1896-4322-3212   
18    商业                 4362-1140-6819-2713-3092   5138-1129-5513-1826-0402   
19    商业                 7212-2122-3069-6436-6574   2314-4183-4223-2218-9181   
20    商业                 1531-2137-8361-1920-4221   1120-0152-8122-2811-2215   
21    商业                 4377-1152-1077-3241-9120   0111-7151-2137-4119-2855   
22    商业                 5858-1151-1192-6211-5125   4322-9181-8195-5043-1024   
23    商业                 1864-5147-1261-3497-6178   4742-8127-0617-1317-0472   
24    商业                 8179-2157-2277-4202-8022   1716-3134-1122-5455-1364   
25    商业                 1751-0134-5222-1119-7621   8281-8140-0313-1338-3112   
26    商业                 7118-4155-6152-1079-1307   1374-1126-0327-2941-0125   
27    商业                 2115-2135-6312-2511-1224   4224-3129-8111-7115-1669   
28    商业                 9559-1121-0907-2749-8102   6153-2113-5812-2590-1048   
29    商业                 6210-6138-5212-4122-2182   1145-3152-1512-0622-8947   
30    商业                 1532-2114-6625-1240-4651   4873-2123-3211-1526-1523   
31    商业                 0153-1193-2543-5216-9311   5124-6126-1814-2200-2433   
32    商业                 3111-2126-1056-8255-2523   8302-2111-8531-8726-2019   
33    商业                 2261-2156-2222-1117-4636   7415-9171-6192-9103-1849   
34    商业                 2161-3179-0122-3231-1124   1478-5112-4813-4439-1688   
35    商业                 9391-8149-4211-3620-3185   2702-7113-6121-1416-4215   
36    商业                 1334-3194-7612-1312-0342   0225-4141-1116-1625-2192   
37    商业                 0164-2162-1714-3122-4421   7610-1107-0117-6120-9115   
38    商业                 2251-1142-0611-1129-6787   1378-8142-3121-2618-2202   
39    商业                 2219-9125-2184-2164-2141   7155-0114-6662-1324-9532   
40    商业                 9118-0110-1141-0151-6213   7116-1164-7189-0466-2181   
41    商业                 2921-1171-6442-7231-6503   1831-3112-1436-7338-7814   
42    商业                 2693-6199-1732-4101-2118   8453-9122-5217-1523-3012   
43    商业                 0121-5193-2226-2129-1020   1276-1117-7512-1010-7252   
44    商业                 9015-5159-2171-4736-9402   5199-3186-5315-1761-2112   
45    商业                 1582-4116-9611-1304-3391   1121-3103-1299-7225-1170   
46    商业                 4212-6157-1950-5111-6116   3093-9174-6018-1610-2500   
47    商业                 1471-4112-0012-5700-7602   1681-3148-3421-1826-0181   
48    商业                 5114-9143-3211-2440-2183   2126-8151-8428-8163-6919   
49    商业                 1275-5116-9715-2259-1896   2182-2191-8852-8302-0501   
50    商业                 0124-4127-2449-2111-7215   1064-3110-3212-2519-2774   
51    商业                 2722-4114-1742-0493-1861   2295-4159-6611-5199-6363   
52    商业                 1694-9112-2617-2102-6114   2072-7111-4511-3422-4402   
53    商业                 4934-2115-1278-3581-8540   1923-2102-1118-2211-4215   
54    商业                 9231-1125-9326-2119-1111   1581-2103-8311-2721-1151   
55    商业                 5112-5159-1342-5201-3887   1731-7118-2619-1306-2741   
56    商业                 5787-6127-1117-9182-2484   7332-2111-1152-0471-7211   
57    商业                 4662-1111-7017-1263-4861   5224-4176-5122-5196-2361   
58    商业                 1161-5167-7711-3211-9017   1312-2185-6213-2577-4247   
59    商业                 4436-2117-1854-4492-1999   5221-4195-1424-0112-7037   
60    商业                 2024-3154-8213-2016-8411   1123-7108-2374-3173-4159   
61    商业                 6211-5117-1925-2401-6412   9212-8150-5412-1282-3079   
62    商业                 6593-8132-2533-1152-5115   1330-1156-0023-1611-1585   
63    商业                 2227-6130-4111-1225-8111   3371-1175-2121-1516-1449   
64    商业                 0004-2121-8323-2151-0113   3056-4110-9913-2028-9059   
65    商业                 7111-2184-2215-1418-6686   9213-4170-3210-9243-1343   
66    商业                 8802-2148-6528-1440-6312   1511-9110-7111-2826-1222   
67    商业                 7306-1122-1195-9385-6258   1222-2140-7221-5123-1266   
68    商业                 4797-4111-4236-4861-3839   2712-3173-7112-2410-3650   
69    商业                 1970-2175-2612-2216-2181   7118-3190-1193-4177-1314   
70    商业                 5324-2183-5116-1161-1233   8509-2173-3321-1112-3121   
71    商业                 8417-6110-1112-2723-1534   9301-2151-2013-6124-2431   
72    商业                 5110-4182-7110-2150-5116   1942-1120-3022-2303-7665   
73    商业                 8613-1112-4592-3241-7439   1116-6157-4320-5152-3112   
74    商业                 0112-2134-6227-5134-1952   2221-3187-1111-2814-9791   
75    商业                 1839-3131-3327-8089-2211   1562-8136-2211-1133-1286   
76    商业                 0112-2118-5319-1948-0792   0996-1169-1493-0193-0631   
77    商业                 4221-3198-2692-2196-4052   8003-4184-5211-1413-6128   
78    商业                 8231-0117-9715-5112-4117   3270-9133-2131-5172-4917   
79    商业                 7211-2128-1152-4104-2333   0141-6125-1221-2476-2442   
80    商业                 2111-4178-2499-4163-7631   7212-3144-1212-2982-1266   
81    商业                 2253-6127-1872-3162-1219   3329-0113-1212-1681-3518   
82    商业                 1193-6173-2313-4236-8225   1381-0153-5711-1626-5341   
83    商业                 1531-6194-7412-2408-6271   2361-7111-5051-9983-6208   
84    商业                 4122-5134-8318-1982-4439   1377-9126-2162-8372-2719   
85    商业                 1722-0139-1181-7510-7291   3521-2152-8749-7127-3508   
86    商业                 0829-6157-4424-1411-1118   9774-2153-5212-7152-1266   
87    商业                 5252-2163-9223-1323-8624   5118-9112-1582-6112-1221   
88    商业                 5929-0141-1921-1227-2087   0110-1129-1270-9259-1749   
89    商业                 2331-1123-1222-2626-5181   1051-1142-5511-5671-3213   
90    商业                 9119-8131-1735-5191-6460   7531-9165-4024-1613-0664   
91    商业                 0721-9101-5129-2411-2331   1703-0126-6212-1824-1763   
92    商业                 2485-5121-1116-4665-6121   4210-2103-2122-5132-1945   
93    商业                 1781-3160-1443-0223-1491   5512-9125-7611-1511-2286   
94    商业                 7112-4147-6320-6187-5461   5291-3120-1858-5764-8369   
95    商业                 7610-8115-2159-2371-2351   6117-0102-1114-5124-7120   
96    商业                 5715-9120-8619-1717-7814   1561-5151-5671-8799-8311   
97    商业                 5985-1191-1172-9192-4416   5592-1118-2723-2590-0114   
98    商业                 8230-1119-2218-3285-1922   2311-3159-7999-7691-1028   
99    商业                 6150-6118-2184-3141-8619   6918-2156-2526-1032-2305   
100   商业                 9613-1103-2226-1975-1083   8579-4124-5612-1421-1212   
101   商业                 9145-2127-2151-4617-2403   6310-9182-7428-2411-1173   
102   商业                 8123-8113-2512-2167-6641   1241-2121-6047-8886-1841   
103   商业                 2335-8175-2214-7681-1473   5688-6165-6522-7383-1790   
104   商业                 2115-6127-0123-1882-1215   2223-4102-2213-2521-3129   
105   商业                 8217-5133-1524-1221-1661   3112-2161-2386-4144-9768   
106   商业                 1291-0114-2582-5911-5671   0213-4177-5224-1388-9545   
107   商业                 2189-6168-8126-3120-5827   4624-5139-1183-6125-2214   
108   商业                 8763-5158-2541-4572-4145   1172-2111-4414-1780-4491   
109   商业                 2354-2121-4011-3054-1512   4207-1134-6220-1555-1061   
110   商业                 5162-0130-3662-7150-3681   2139-7166-6814-3151-1181   
111   商业                 2023-0182-9311-2914-6623   9715-9111-4189-7894-2133   
